document,element,Frequency
1994,Alzheimer_s_disease_and_other_dementias,652176
1994,Cardiovascular_diseases,13026289
1994,Chronic_kidney_disease,665365
1994,Chronic_respiratory_diseases,3297292
1994,Cirrhosis_and_other_chronic_liver_diseases,1089331
1994,Conflict_and_terrorism,566082
1994,Diabetes_mellitus,751254
1994,Diarrheal_diseases,2740299
1994,Digestive_diseases,1967669
1994,Drowning,443350
1994,Drug_use_disorders,76717
1994,Environmental_heat_and_cold_exposure,72305
1994,Exposure_to_forces_of_nature,12717
1994,Fire__heat__and_hot_substances,129611
1994,HIV_AIDS,800169
1994,Interpersonal_violence,441971
1994,Lower_respiratory_infections,3187285
1994,Malaria,855671
1994,Maternal_disorders,293148
1994,Meningitis,413799
1994,Neonatal_disorders,2896505
1994,Neoplasms,6296066
1994,Nutritional_deficiencies,649801
1994,Parkinson_s_disease,164381
1994,Poisonings,90897
1994,Protein_energy_malnutrition,564046
1994,Road_injuries_,1153642
1994,Self_harm,817682
1994,Tuberculosis,1753811
1995,Acute_hepatitis,157173
1995,Alcohol_use_disorders,156714
1995,Alzheimer_s_disease_and_other_dementias,674815
1995,Cardiovascular_diseases,13129252
1995,Chronic_kidney_disease,683701
1995,Chronic_respiratory_diseases,3313295
1995,Cirrhosis_and_other_chronic_liver_diseases,1104380
1995,Conflict_and_terrorism,67210
1995,Diabetes_mellitus,773490
1995,Diarrheal_diseases,2673263
1995,Digestive_diseases,1984263
1995,Drowning,437303
1995,Drug_use_disorders,79985
1995,Environmental_heat_and_cold_exposure,72635
1995,Exposure_to_forces_of_nature,19169
1995,Fire__heat__and_hot_substances,128523
1995,HIV_AIDS,938440
1995,Interpersonal_violence,444246
1995,Lower_respiratory_infections,3148775
1995,Malaria,862626
1995,Maternal_disorders,290551
1995,Meningitis,409826
1995,Neonatal_disorders,2873608
1995,Neoplasms,6402881
1995,Nutritional_deficiencies,723095
1995,Parkinson_s_disease,168882
1995,Poisonings,90353
1995,Protein_energy_malnutrition,641084
1995,Road_injuries_,1162799
1995,Self_harm,825922
1995,Tuberculosis,1738759
1996,Acute_hepatitis,153406
1996,Alcohol_use_disorders,156352
1996,Alzheimer_s_disease_and_other_dementias,696665
1996,Cardiovascular_diseases,13213565
1996,Chronic_kidney_disease,704624
1996,Chronic_respiratory_diseases,3342591
1996,Cirrhosis_and_other_chronic_liver_diseases,1115241
1996,Conflict_and_terrorism,87324
1996,Diabetes_mellitus,799023
1996,Diarrheal_diseases,2615313
1996,Digestive_diseases,1995513
1996,Drowning,423296
1996,Drug_use_disorders,81704
1996,Environmental_heat_and_cold_exposure,67602
1996,Exposure_to_forces_of_nature,14866
1996,Fire__heat__and_hot_substances,126804
1996,HIV_AIDS,1061580
1996,Interpersonal_violence,432673
1996,Lower_respiratory_infections,3091233
1996,Malaria,872476
1996,Maternal_disorders,287746
1996,Meningitis,417259
1996,Neonatal_disorders,2841042
1996,Neoplasms,6490603
1996,Nutritional_deficiencies,671977
1996,Parkinson_s_disease,173822
1996,Poisonings,88861
1996,Protein_energy_malnutrition,593826
1996,Road_injuries_,1162809
1996,Self_harm,820128
1996,Tuberculosis,1720903
1997,Acute_hepatitis,151902
1997,Alcohol_use_disorders,155429
1997,Alzheimer_s_disease_and_other_dementias,717342
1997,Cardiovascular_diseases,13339902
1997,Chronic_kidney_disease,731048
1997,Chronic_respiratory_diseases,3381872
1997,Cirrhosis_and_other_chronic_liver_diseases,1128962
1997,Conflict_and_terrorism,99263
1997,Diabetes_mellitus,827734
1997,Diarrheal_diseases,2579027
1997,Digestive_diseases,2014659
1997,Drowning,413405
1997,Drug_use_disorders,82572
1997,Environmental_heat_and_cold_exposure,63823
1997,Exposure_to_forces_of_nature,17852
1997,Fire__heat__and_hot_substances,126274
1997,HIV_AIDS,1174154
1997,Interpersonal_violence,427316
1997,Lower_respiratory_infections,3047670
1997,Malaria,892946
1997,Maternal_disorders,289467
1997,Meningitis,400893
1997,Neonatal_disorders,2817527
1997,Neoplasms,6586074
1997,Nutritional_deficiencies,647682
1997,Parkinson_s_disease,179347
1997,Poisonings,87371
1997,Protein_energy_malnutrition,572372
1997,Road_injuries_,1169798
1997,Self_harm,822649
1997,Tuberculosis,1726038
1998,Acute_hepatitis,149563
1998,Alcohol_use_disorders,156282
1998,Alzheimer_s_disease_and_other_dementias,738768
1998,Cardiovascular_diseases,13461489
1998,Chronic_kidney_disease,758681
1998,Chronic_respiratory_diseases,3401426
1998,Cirrhosis_and_other_chronic_liver_diseases,1141509
1998,Conflict_and_terrorism,108842
1998,Diabetes_mellitus,854415
1998,Diarrheal_diseases,2544585
1998,Digestive_diseases,2030600
1998,Drowning,407205
1998,Drug_use_disorders,85087
1998,Environmental_heat_and_cold_exposure,64858
1998,Exposure_to_forces_of_nature,48134
1998,Fire__heat__and_hot_substances,124746
1998,HIV_AIDS,1303651
1998,Interpersonal_violence,431984
1998,Lower_respiratory_infections,2999755
1998,Malaria,901338
1998,Maternal_disorders,289304
1998,Meningitis,393364
1998,Neonatal_disorders,2793540
1998,Neoplasms,6703169
1998,Nutritional_deficiencies,620498
1998,Parkinson_s_disease,185097
1998,Poisonings,86679
1998,Protein_energy_malnutrition,549543
1998,Road_injuries_,1177827
1998,Self_harm,829842
1998,Tuberculosis,1724307
1999,Acute_hepatitis,147017
1999,Alcohol_use_disorders,160606
1999,Alzheimer_s_disease_and_other_dementias,761620
1999,Cardiovascular_diseases,13720763
1999,Chronic_kidney_disease,785380
1999,Chronic_respiratory_diseases,3419612
1999,Cirrhosis_and_other_chronic_liver_diseases,1158552
1999,Conflict_and_terrorism,141860
1999,Diabetes_mellitus,879521
1999,Diarrheal_diseases,2496957
1999,Digestive_diseases,2054201
1999,Drowning,397169
1999,Drug_use_disorders,87336
1999,Environmental_heat_and_cold_exposure,63375
1999,Exposure_to_forces_of_nature,69591
1999,Fire__heat__and_hot_substances,125921
1999,HIV_AIDS,1439777
1999,Interpersonal_violence,440642
1999,Lower_respiratory_infections,2950639
1999,Malaria,893788
1999,Maternal_disorders,288836
1999,Meningitis,390136
1999,Neonatal_disorders,2766241
1999,Neoplasms,6857548
1999,Nutritional_deficiencies,593417
1999,Parkinson_s_disease,191538
1999,Poisonings,87333
1999,Protein_energy_malnutrition,527431
1999,Road_injuries_,1195303
1999,Self_harm,840850
1999,Tuberculosis,1719130
2000,Acute_hepatitis,144124
2000,Alcohol_use_disorders,166094
2000,Alzheimer_s_disease_and_other_dementias,786615
2000,Cardiovascular_diseases,13957078
2000,Chronic_kidney_disease,814854
2000,Chronic_respiratory_diseases,3450006
2000,Cirrhosis_and_other_chronic_liver_diseases,1177628
2000,Conflict_and_terrorism,120011
2000,Diabetes_mellitus,905965
2000,Diarrheal_diseases,2440570
2000,Digestive_diseases,2079551
2000,Drowning,387627
2000,Drug_use_disorders,89690
2000,Environmental_heat_and_cold_exposure,65450
2000,Exposure_to_forces_of_nature,8918
2000,Fire__heat__and_hot_substances,126659
2000,HIV_AIDS,1559389
2000,Interpersonal_violence,450393
2000,Lower_respiratory_infections,2895698
2000,Malaria,882055
2000,Maternal_disorders,287027
2000,Meningitis,385994
2000,Neonatal_disorders,2739290
2000,Neoplasms,7001927
2000,Nutritional_deficiencies,568454
2000,Parkinson_s_disease,198545
2000,Poisonings,88799
2000,Protein_energy_malnutrition,505874
2000,Road_injuries_,1212355
2000,Self_harm,839249
2000,Tuberculosis,1714428
2001,Acute_hepatitis,140143
2001,Alcohol_use_disorders,170787
2001,Alzheimer_s_disease_and_other_dementias,814526
2001,Cardiovascular_diseases,14185571
2001,Chronic_kidney_disease,842790
2001,Chronic_respiratory_diseases,3465831
2001,Cirrhosis_and_other_chronic_liver_diseases,1200250
2001,Conflict_and_terrorism,67069
2001,Diabetes_mellitus,934841
2001,Diarrheal_diseases,2378465
2001,Digestive_diseases,2107791
2001,Drowning,375917
2001,Drug_use_disorders,87325
2001,Environmental_heat_and_cold_exposure,66743
2001,Exposure_to_forces_of_nature,29497
2001,Fire__heat__and_hot_substances,126427
2001,HIV_AIDS,1662064
2001,Interpersonal_violence,451206
2001,Lower_respiratory_infections,2830457
2001,Malaria,912709
2001,Maternal_disorders,282455
2001,Meningitis,379912
2001,Neonatal_disorders,2710195
2001,Neoplasms,7114269
2001,Nutritional_deficiencies,542565
2001,Parkinson_s_disease,206194
2001,Poisonings,89294
2001,Protein_energy_malnutrition,483074
2001,Road_injuries_,1224220
2001,Self_harm,820745
2001,Tuberculosis,1682360
2002,Acute_hepatitis,134941
2002,Alcohol_use_disorders,175317
2002,Alzheimer_s_disease_and_other_dementias,845695
2002,Cardiovascular_diseases,14501696
2002,Chronic_kidney_disease,874109
2002,Chronic_respiratory_diseases,3490310
2002,Cirrhosis_and_other_chronic_liver_diseases,1227607
2002,Conflict_and_terrorism,66414
2002,Diabetes_mellitus,970544
2002,Diarrheal_diseases,2312641
2002,Digestive_diseases,2143976
2002,Drowning,361967
2002,Drug_use_disorders,84750
2002,Environmental_heat_and_cold_exposure,69939
2002,Exposure_to_forces_of_nature,8908
2002,Fire__heat__and_hot_substances,125532
2002,HIV_AIDS,1746104
2002,Interpersonal_violence,462331
2002,Lower_respiratory_infections,2788706
2002,Malaria,929195
2002,Maternal_disorders,276253
2002,Meningitis,372298
2002,Neonatal_disorders,2691320
2002,Neoplasms,7253993
2002,Nutritional_deficiencies,517754
2002,Parkinson_s_disease,214930
2002,Poisonings,89920
2002,Protein_energy_malnutrition,462083
2002,Road_injuries_,1237109
2002,Self_harm,811199
2002,Tuberculosis,1649490
2003,Acute_hepatitis,130158
2003,Alcohol_use_disorders,178889
2003,Alzheimer_s_disease_and_other_dementias,877011
2003,Cardiovascular_diseases,14710723
2003,Chronic_kidney_disease,902200
2003,Chronic_respiratory_diseases,3491643
2003,Cirrhosis_and_other_chronic_liver_diseases,1251776
2003,Conflict_and_terrorism,71044
2003,Diabetes_mellitus,1000276
2003,Diarrheal_diseases,2242961
2003,Digestive_diseases,2173729
2003,Drowning,347745
2003,Drug_use_disorders,82250
2003,Environmental_heat_and_cold_exposure,71950
2003,Exposure_to_forces_of_nature,35474
2003,Fire__heat__and_hot_substances,125730
2003,HIV_AIDS,1808445
2003,Interpersonal_violence,446701
2003,Lower_respiratory_infections,2746549
2003,Malaria,959654
2003,Maternal_disorders,269425
2003,Meningitis,369171
2003,Neonatal_disorders,2671242
2003,Neoplasms,7388299
2003,Nutritional_deficiencies,417264
2003,Parkinson_s_disease,222256
2003,Poisonings,90634
2003,Protein_energy_malnutrition,365742
2003,Road_injuries_,1248216
2003,Self_harm,814533
2003,Tuberculosis,1612262
2004,Acute_hepatitis,127953
2004,Alcohol_use_disorders,180491
2004,Alzheimer_s_disease_and_other_dementias,909148
2004,Cardiovascular_diseases,14745985
2004,Chronic_kidney_disease,922921
2004,Chronic_respiratory_diseases,3462850
2004,Cirrhosis_and_other_chronic_liver_diseases,1266574
2004,Conflict_and_terrorism,70502
2004,Diabetes_mellitus,1018138
2004,Diarrheal_diseases,2166496
2004,Digestive_diseases,2187927
2004,Drowning,338417
2004,Drug_use_disorders,81843
2004,Environmental_heat_and_cold_exposure,67144
2004,Exposure_to_forces_of_nature,242430
2004,Fire__heat__and_hot_substances,123651
2004,HIV_AIDS,1842954
2004,Interpersonal_violence,440855
2004,Lower_respiratory_infections,2697064
2004,Malaria,960784
2004,Maternal_disorders,265279
2004,Meningitis,363462
2004,Neonatal_disorders,2647814
2004,Neoplasms,7504504
2004,Nutritional_deficiencies,393952
2004,Parkinson_s_disease,227695
2004,Poisonings,91455
2004,Protein_energy_malnutrition,345527
2004,Road_injuries_,1258547
2004,Self_harm,819290
2004,Tuberculosis,1558519
2005,Acute_hepatitis,128197
2005,Alcohol_use_disorders,181704
2005,Alzheimer_s_disease_and_other_dementias,945619
2005,Cardiovascular_diseases,14995528
2005,Chronic_kidney_disease,956457
2005,Chronic_respiratory_diseases,3479174
2005,Cirrhosis_and_other_chronic_liver_diseases,1293978
2005,Conflict_and_terrorism,59507
2005,Diabetes_mellitus,1050925
2005,Diarrheal_diseases,2125961
2005,Digestive_diseases,2226154
2005,Drowning,332705
2005,Drug_use_disorders,84990
2005,Environmental_heat_and_cold_exposure,68382
2005,Exposure_to_forces_of_nature,88718
2005,Fire__heat__and_hot_substances,124166
2005,HIV_AIDS,1832074
2005,Interpersonal_violence,435946
2005,Lower_respiratory_infections,2677818
2005,Malaria,940540
2005,Maternal_disorders,264407
2005,Meningitis,361809
2005,Neonatal_disorders,2620556
2005,Neoplasms,7653588
2005,Nutritional_deficiencies,376740
2005,Parkinson_s_disease,236498
2005,Poisonings,92064
2005,Protein_energy_malnutrition,329849
2005,Road_injuries_,1269243
2005,Self_harm,826133
2005,Tuberculosis,1532479
2006,Acute_hepatitis,124737
2006,Alcohol_use_disorders,177747
2006,Alzheimer_s_disease_and_other_dementias,982308
2006,Cardiovascular_diseases,14991661
2006,Chronic_kidney_disease,981743
2006,Chronic_respiratory_diseases,3461443
2006,Cirrhosis_and_other_chronic_liver_diseases,1300281
2006,Conflict_and_terrorism,74555
2006,Diabetes_mellitus,1071057
2006,Diarrheal_diseases,2109339
2006,Digestive_diseases,2235326
2006,Drowning,319875
2006,Drug_use_disorders,85421
2006,Environmental_heat_and_cold_exposure,64630
2006,Exposure_to_forces_of_nature,19918
2006,Fire__heat__and_hot_substances,121265
2006,HIV_AIDS,1767868
2006,Interpersonal_violence,427355
2006,Lower_respiratory_infections,2645926
2006,Malaria,941746
2006,Maternal_disorders,259261
2006,Meningitis,358973
2006,Neonatal_disorders,2587061
2006,Neoplasms,7722732
2006,Nutritional_deficiencies,362476
2006,Parkinson_s_disease,242749
2006,Poisonings,89859
2006,Protein_energy_malnutrition,316210
2006,Road_injuries_,1267492
2006,Self_harm,814138
2006,Tuberculosis,1499369
2007,Acute_hepatitis,120512
2007,Alcohol_use_disorders,174006
2007,Alzheimer_s_disease_and_other_dementias,1022057
2007,Cardiovascular_diseases,15117363
2007,Chronic_kidney_disease,1010311
2007,Chronic_respiratory_diseases,3467408
2007,Cirrhosis_and_other_chronic_liver_diseases,1311974
2007,Conflict_and_terrorism,71286
2007,Diabetes_mellitus,1092777
2007,Diarrheal_diseases,2076357
2007,Digestive_diseases,2251390
2007,Drowning,311889
2007,Drug_use_disorders,85962
2007,Environmental_heat_and_cold_exposure,59791
2007,Exposure_to_forces_of_nature,16200
2007,Fire__heat__and_hot_substances,119600
2007,HIV_AIDS,1669306
2007,Interpersonal_violence,420025
2007,Lower_respiratory_infections,2617221
2007,Malaria,940193
2007,Maternal_disorders,252551
2007,Meningitis,352747
2007,Neonatal_disorders,2549184
2007,Neoplasms,7850705
2007,Nutritional_deficiencies,347407
2007,Parkinson_s_disease,250475
2007,Poisonings,88475
2007,Protein_energy_malnutrition,302088
2007,Road_injuries_,1273318
2007,Self_harm,802521
2007,Tuberculosis,1470117
2008,Acute_hepatitis,117273
2008,Alcohol_use_disorders,171613
2008,Alzheimer_s_disease_and_other_dementias,1065297
2008,Cardiovascular_diseases,15402070
2008,Chronic_kidney_disease,1045743
2008,Chronic_respiratory_diseases,3510195
2008,Cirrhosis_and_other_chronic_liver_diseases,1330568
2008,Conflict_and_terrorism,64695
2008,Diabetes_mellitus,1122287
2008,Diarrheal_diseases,2044769
2008,Digestive_diseases,2280070
2008,Drowning,304870
2008,Drug_use_disorders,87077
2008,Environmental_heat_and_cold_exposure,57763
2008,Exposure_to_forces_of_nature,235751
2008,Fire__heat__and_hot_substances,118269
2008,HIV_AIDS,1559499
2008,Interpersonal_violence,422800
2008,Lower_respiratory_infections,2603124
2008,Malaria,932910
2008,Maternal_disorders,247899
2008,Meningitis,343452
2008,Neonatal_disorders,2515772
2008,Neoplasms,8027173
2008,Nutritional_deficiencies,335623
2008,Parkinson_s_disease,260382
2008,Poisonings,88687
2008,Protein_energy_malnutrition,290690
2008,Road_injuries_,1284333
2008,Self_harm,797570
2008,Tuberculosis,1447516
2009,Acute_hepatitis,112643
2009,Alcohol_use_disorders,166736
2009,Alzheimer_s_disease_and_other_dementias,1109405
2009,Cardiovascular_diseases,15552545
2009,Chronic_kidney_disease,1074048
2009,Chronic_respiratory_diseases,3498126
2009,Cirrhosis_and_other_chronic_liver_diseases,1330408
2009,Conflict_and_terrorism,71582
2009,Diabetes_mellitus,1142391
2009,Diarrheal_diseases,1977248
2009,Digestive_diseases,2279806
2009,Drowning,296871
2009,Drug_use_disorders,87025
2009,Environmental_heat_and_cold_exposure,54835
2009,Exposure_to_forces_of_nature,10975
2009,Fire__heat__and_hot_substances,116177
2009,HIV_AIDS,1453258
2009,Interpersonal_violence,422750
2009,Lower_respiratory_infections,2571405
2009,Malaria,917796
2009,Maternal_disorders,244175
2009,Meningitis,336868
2009,Neonatal_disorders,2475066
2009,Neoplasms,8167640
2009,Nutritional_deficiencies,322879
2009,Parkinson_s_disease,267738
2009,Poisonings,87902
2009,Protein_energy_malnutrition,279325
2009,Road_injuries_,1281669
2009,Self_harm,785883
2009,Tuberculosis,1405491
2010,Acute_hepatitis,109556
2010,Alcohol_use_disorders,164313
2010,Alzheimer_s_disease_and_other_dementias,1155944
2010,Cardiovascular_diseases,15838151
2010,Chronic_kidney_disease,1107473
2010,Chronic_respiratory_diseases,3509920
2010,Cirrhosis_and_other_chronic_liver_diseases,1340704
2010,Conflict_and_terrorism,54467
2010,Diabetes_mellitus,1165663
2010,Diarrheal_diseases,1928704
2010,Digestive_diseases,2298319
2010,Drowning,290831
2010,Drug_use_disorders,88079
2010,Environmental_heat_and_cold_exposure,58674
2010,Exposure_to_forces_of_nature,241002
2010,Fire__heat__and_hot_substances,115329
2010,HIV_AIDS,1364619
2010,Interpersonal_violence,417449
2010,Lower_respiratory_infections,2545622
2010,Malaria,909814
2010,Maternal_disorders,239749
2010,Meningitis,326778
2010,Neonatal_disorders,2428939
2010,Neoplasms,8329288
2010,Nutritional_deficiencies,322187
2010,Parkinson_s_disease,276188
2010,Poisonings,87632
2010,Protein_energy_malnutrition,279144
2010,Road_injuries_,1278839
2010,Self_harm,784456
2010,Tuberculosis,1364942
2011,Acute_hepatitis,106549
2011,Alcohol_use_disorders,161372
2011,Alzheimer_s_disease_and_other_dementias,1201138
2011,Cardiovascular_diseases,16038263
2011,Chronic_kidney_disease,1143219
2011,Chronic_respiratory_diseases,3539167
2011,Cirrhosis_and_other_chronic_liver_diseases,1348880
2011,Conflict_and_terrorism,62900
2011,Diabetes_mellitus,1197995
2011,Diarrheal_diseases,1902762
2011,Digestive_diseases,2316484
2011,Drowning,281106
2011,Drug_use_disorders,89322
2011,Environmental_heat_and_cold_exposure,51638
2011,Exposure_to_forces_of_nature,31850
2011,Fire__heat__and_hot_substances,113655
2011,HIV_AIDS,1283719
2011,Interpersonal_violence,413880
2011,Lower_respiratory_infections,2527899
2011,Malaria,868564
2011,Maternal_disorders,234669
2011,Meningitis,312733
2011,Neonatal_disorders,2383664
2011,Neoplasms,8468793
2011,Nutritional_deficiencies,314327
2011,Parkinson_s_disease,284488
2011,Poisonings,86099
2011,Protein_energy_malnutrition,271516
2011,Road_injuries_,1267737
2011,Self_harm,777218
2011,Tuberculosis,1331697
2012,Acute_hepatitis,104589
2012,Alcohol_use_disorders,159381
2012,Alzheimer_s_disease_and_other_dementias,1247515
2012,Cardiovascular_diseases,16245243
2012,Chronic_kidney_disease,1176295
2012,Chronic_respiratory_diseases,3558276
2012,Cirrhosis_and_other_chronic_liver_diseases,1354358
2012,Conflict_and_terrorism,112295
2012,Diabetes_mellitus,1236606
2012,Diarrheal_diseases,1834769
2012,Digestive_diseases,2329472
2012,Drowning,275585
2012,Drug_use_disorders,90934
2012,Environmental_heat_and_cold_exposure,51418
2012,Exposure_to_forces_of_nature,8959
2012,Fire__heat__and_hot_substances,112090
2012,HIV_AIDS,1198698
2012,Interpersonal_violence,417694
2012,Lower_respiratory_infections,2526051
2012,Malaria,806183
2012,Maternal_disorders,227177
2012,Meningitis,300091
2012,Neonatal_disorders,2339979
2012,Neoplasms,8611952
2012,Nutritional_deficiencies,298117
2012,Parkinson_s_disease,293123
2012,Poisonings,84595
2012,Protein_energy_malnutrition,255541
2012,Road_injuries_,1255450
2012,Self_harm,767020
2012,Tuberculosis,1318198
2013,Acute_hepatitis,98898
2013,Alcohol_use_disorders,158848
2013,Alzheimer_s_disease_and_other_dementias,1294701
2013,Cardiovascular_diseases,16490053
2013,Chronic_kidney_disease,1214187
2013,Chronic_respiratory_diseases,3610804
2013,Cirrhosis_and_other_chronic_liver_diseases,1359145
2013,Conflict_and_terrorism,117364
2013,Diabetes_mellitus,1277414
2013,Diarrheal_diseases,1788081
2013,Digestive_diseases,2348963
2013,Drowning,266827
2013,Drug_use_disorders,94562
2013,Environmental_heat_and_cold_exposure,49503
2013,Exposure_to_forces_of_nature,26906
2013,Fire__heat__and_hot_substances,111818
2013,HIV_AIDS,1126196
2013,Interpersonal_violence,415620
2013,Lower_respiratory_infections,2537037
2013,Malaria,751776
2013,Maternal_disorders,223473
2013,Meningitis,289502
2013,Neonatal_disorders,2299343
2013,Neoplasms,8757263
2013,Nutritional_deficiencies,291451
2013,Parkinson_s_disease,303488
2013,Poisonings,83618
2013,Protein_energy_malnutrition,249435
2013,Road_injuries_,1232221
2013,Self_harm,755568
2013,Tuberculosis,1307485
2014,Acute_hepatitis,92845
2014,Alcohol_use_disorders,159291
2014,Alzheimer_s_disease_and_other_dementias,1343756
2014,Cardiovascular_diseases,16715810
2014,Chronic_kidney_disease,1247378
2014,Chronic_respiratory_diseases,3651653
2014,Cirrhosis_and_other_chronic_liver_diseases,1363403
2014,Conflict_and_terrorism,187939
2014,Diabetes_mellitus,1320608
2014,Diarrheal_diseases,1725693
2014,Digestive_diseases,2364063
2014,Drowning,258489
2014,Drug_use_disorders,99295
2014,Environmental_heat_and_cold_exposure,48775
2014,Exposure_to_forces_of_nature,7412
2014,Fire__heat__and_hot_substances,110102
2014,HIV_AIDS,1072970
2014,Interpersonal_violence,413371
2014,Lower_respiratory_infections,2532104
2014,Malaria,724324
2014,Maternal_disorders,214881
2014,Meningitis,280438
2014,Neonatal_disorders,2237472
2014,Neoplasms,8920309
2014,Nutritional_deficiencies,284578
2014,Parkinson_s_disease,312928
2014,Poisonings,81976
2014,Protein_energy_malnutrition,242956
2014,Road_injuries_,1213989
2014,Self_harm,744751
2014,Tuberculosis,1294816
2015,Acute_hepatitis,88750
2015,Alcohol_use_disorders,160713
2015,Alzheimer_s_disease_and_other_dementias,1394942
2015,Cardiovascular_diseases,17089707
2015,Chronic_kidney_disease,1286935
2015,Chronic_respiratory_diseases,3690907
2015,Cirrhosis_and_other_chronic_liver_diseases,1384947
2015,Conflict_and_terrorism,167030
2015,Diabetes_mellitus,1366100
2015,Diarrheal_diseases,1679043
2015,Digestive_diseases,2404387
2015,Drowning,254237
2015,Drug_use_disorders,105401
2015,Environmental_heat_and_cold_exposure,51665
2015,Exposure_to_forces_of_nature,15583
2015,Fire__heat__and_hot_substances,110167
2015,HIV_AIDS,1029667
2015,Interpersonal_violence,416362
2015,Lower_respiratory_infections,2533068
2015,Malaria,702890
2015,Maternal_disorders,208450
2015,Meningitis,267789
2015,Neonatal_disorders,2183143
2015,Neoplasms,9133616
2015,Nutritional_deficiencies,278793
2015,Parkinson_s_disease,321782
2015,Poisonings,80974
2015,Protein_energy_malnutrition,237723
2015,Road_injuries_,1201418
2015,Self_harm,742648
